model_id,delta,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,0.005,10,500,229,180554.47598253275,5.681222707423581,92.51965065502183,0.16524574545244128,0.14607165865671098,0.37059070765798363,0.32911521004994343,0.6325181083722055,0.820378217196224,0.07680042382111923,0.11413107599537244,2.767150684931506,4.5335616438356166,9.140104174388261,-6.726536383913302,-13.941920122556695,-5.3939536848972836,4.331877729257642,83.97379912663756,1.3493449781659388,3.7723114992721984
model_2,0.005,10,1000,229,180554.47598253275,5.681222707423581,65.55458515283843,0.1984553251944501,0.16816432779782634,0.41977069590728683,0.35750486522418545,0.5423918494525996,0.8054543353156248,0.08725235166775827,0.13878408961487687,3.521506849315069,5.260661187214612,6.215431518404186,-5.117544102603157,-10.379856920412811,-4.914335291951604,4.1965065502183405,59.73362445414847,1.48471615720524,3.4616593886462885
model_3,0.005,10,2000,229,180554.47598253275,5.681222707423581,44.09170305676856,0.2226628424151014,0.1603104043049151,0.4304379669775257,0.310975473930419,0.3405602168188862,0.7150122172116778,0.08487647011051326,0.16110785843624115,4.74486511627907,6.521565581395348,3.9741597089668637,-4.322345495332049,-7.942486471347611,-5.3070348326517784,3.589519650655022,40.353711790393014,2.091703056768559,2.4781659388646293
model_4,0.005,10,3000,229,180554.47598253275,5.681222707423581,33.851528384279476,0.2103248100789275,0.14612611492906102,0.36576149791358364,0.25557241038502765,0.27360667310256315,0.5459728048444976,0.09104322219075317,0.1635699933980213,4.895326923076924,6.364932692307696,2.956211058255784,-4.618228060435208,-7.429141096023649,-6.623251891985966,2.7598253275109172,31.09170305676856,2.921397379912664,1.8655778748180494
model_5,0.005,10,4000,229,180554.47598253275,5.681222707423581,27.68122270742358,0.19185343294186807,0.13377863809440038,0.306265745469204,0.21407137028579376,0.22143597868296044,0.42985739465318196,0.08664576329356295,0.15746781299831014,4.856938144329897,6.114612371134021,2.3883171634458638,-4.856748147638287,-7.166259675173532,-7.536053519241844,2.1877729257641922,25.49344978165939,3.493449781659389,1.4679941775836982
model_6,0.005,10,5000,229,180554.47598253275,5.681222707423581,23.532751091703055,0.17540536007154625,0.1181495230502561,0.2658135896903463,0.1814596121816405,0.18067786096940988,0.352926112118894,0.07980884298549017,0.15075287081487745,5.134976744186044,6.260576744186046,2.0088874633800176,-5.045002616016444,-7.018276765080096,-8.198103532750993,1.8296943231441047,21.70305676855895,3.851528384279476,1.1960320232896655
model_7,0.005,25,500,229,180554.47598253275,5.681222707423581,118.25764192139738,0.14911506878453198,0.139575365059053,0.35858849412579674,0.33698437554795313,0.7485542852130316,0.8822793433697621,0.07021529307694782,0.09645995659714458,2.0955315315315275,3.813793693693688,11.587302936827367,-7.944539277802515,-17.27163768822354,-5.132518456871478,4.816593886462882,107.39301310043668,0.8646288209606987,4.464614264919942
model_8,0.005,25,1000,229,180554.47598253275,5.681222707423581,80.1353711790393,0.18729845058100061,0.16694533427575317,0.4181599876074764,0.37478230641588767,0.6209883033027138,0.8632737717087832,0.0820250977796879,0.1242719859780886,3.1280542986425264,4.888046153846147,7.475291108939636,-5.541782107455447,-12.052867931071107,-4.303706444555914,4.676855895196507,73.1528384279476,1.0043668122270741,4.101088791848618
model_9,0.005,25,2000,229,180554.47598253275,5.681222707423581,51.74235807860262,0.22129645439836207,0.16531213706121486,0.4474878233579164,0.3356742626123061,0.4029653014593934,0.7818332743262104,0.08727316878823578,0.1527317967714775,4.480054298642528,6.471276923076918,4.586557060546639,-4.346615262523871,-8.653826325860289,-4.655891826925531,4.008733624454148,47.48908296943232,1.6724890829694323,2.931030567685589
model_10,0.005,25,3000,229,180554.47598253275,5.681222707423581,38.62882096069869,0.2062780743093865,0.13748081857031583,0.37646624017281655,0.25342882717320875,0.27101068259878947,0.5964668298279909,0.07519450313816545,0.1519239214409338,5.1830566037735775,6.799459433962258,3.3310213459582036,-4.619619286118168,-7.85850598774481,-6.135547114344148,3.021834061135371,35.60698689956332,2.6593886462882095,1.9881601164483262
