model_id,window_size,regime_threshold,regime_landmark,min_gap_samples,n_records,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,25,0.05,2.0,200,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.0012010813058847953,0.0007939658594680427,0.0007643244673812331,0.0,0.0007278020378457057,0.0,0.004366812227074236,4.224000000000018,4.224000000000018,0.25939716151638637,-5.674818183267225,-5.676739580647137,-11.350713379773776,0.004366812227074236,1.0,5.676855895196507,0.004203784570596784
model_2,25,0.05,2.0,500,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.0012010813058847953,0.0007939658594680427,0.0007643244673812331,0.0,0.0007278020378457057,0.0,0.004366812227074236,4.224000000000018,4.224000000000018,0.25939716151638637,-5.674818183267225,-5.676739580647137,-11.350713379773776,0.004366812227074236,1.0,5.676855895196507,0.004203784570596784
model_3,25,0.05,2.0,1000,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.0012010813058847953,0.0007939658594680427,0.0007643244673812331,0.0,0.0007278020378457057,0.0,0.004366812227074236,4.224000000000018,4.224000000000018,0.25939716151638637,-5.674818183267225,-5.676739580647137,-11.350713379773776,0.004366812227074236,1.0,5.676855895196507,0.004203784570596784
model_4,25,0.05,2.0,2000,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.0012010813058847953,0.0007939658594680427,0.0007643244673812331,0.0,0.0007278020378457057,0.0,0.004366812227074236,4.224000000000018,4.224000000000018,0.25939716151638637,-5.674818183267225,-5.676739580647137,-11.350713379773776,0.004366812227074236,1.0,5.676855895196507,0.004203784570596784
model_5,25,0.05,2.0,3000,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.0012010813058847953,0.0007939658594680427,0.0007643244673812331,0.0,0.0007278020378457057,0.0,0.004366812227074236,4.224000000000018,4.224000000000018,0.25939716151638637,-5.674818183267225,-5.676739580647137,-11.350713379773776,0.004366812227074236,1.0,5.676855895196507,0.004203784570596784
model_6,25,0.05,2.0,5000,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.0012010813058847953,0.0007939658594680427,0.0007643244673812331,0.0,0.0007278020378457057,0.0,0.004366812227074236,4.224000000000018,4.224000000000018,0.25939716151638637,-5.674818183267225,-5.676739580647137,-11.350713379773776,0.004366812227074236,1.0,5.676855895196507,0.004203784570596784
model_7,25,0.05,2.5,200,229,5.681222707423581,1.0,0.0012476606363069245,0.0010347265543772092,0.0007939658594680427,0.0006584623527854965,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.024000000000001,5.024000000000001,0.2593373444105373,-5.676951622062964,-5.680794416822789,-11.351886119879557,0.004366812227074236,0.9956331877729258,5.676855895196507,0.003621542940320232
model_8,25,0.05,2.5,500,229,5.681222707423581,1.0,0.0012476606363069245,0.0010347265543772092,0.0007939658594680427,0.0006584623527854965,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.024000000000001,5.024000000000001,0.2593373444105373,-5.676951622062964,-5.680794416822789,-11.351886119879557,0.004366812227074236,0.9956331877729258,5.676855895196507,0.003621542940320232
model_9,25,0.05,2.5,1000,229,5.681222707423581,1.0,0.0012476606363069245,0.0010347265543772092,0.0007939658594680427,0.0006584623527854965,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.024000000000001,5.024000000000001,0.2593373444105373,-5.676951622062964,-5.680794416822789,-11.351886119879557,0.004366812227074236,0.9956331877729258,5.676855895196507,0.003621542940320232
model_10,25,0.05,2.5,2000,229,5.681222707423581,1.0,0.0012476606363069245,0.0010347265543772092,0.0007939658594680427,0.0006584623527854965,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.024000000000001,5.024000000000001,0.2593373444105373,-5.676951622062964,-5.680794416822789,-11.351886119879557,0.004366812227074236,0.9956331877729258,5.676855895196507,0.003621542940320232
model_11,25,0.05,2.5,3000,229,5.681222707423581,1.0,0.0012476606363069245,0.0010347265543772092,0.0007939658594680427,0.0006584623527854965,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.024000000000001,5.024000000000001,0.2593373444105373,-5.676951622062964,-5.680794416822789,-11.351886119879557,0.004366812227074236,0.9956331877729258,5.676855895196507,0.003621542940320232
model_12,25,0.05,2.5,5000,229,5.681222707423581,1.0,0.0012476606363069245,0.0010347265543772092,0.0007939658594680427,0.0006584623527854965,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.024000000000001,5.024000000000001,0.2593373444105373,-5.676951622062964,-5.680794416822789,-11.351886119879557,0.004366812227074236,0.9956331877729258,5.676855895196507,0.003621542940320232
model_13,25,0.05,3.0,200,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.0009515491786234126,0.0007939658594680427,0.0006055312954876262,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.424000000000007,5.424000000000007,0.2593917148905969,-5.6770881036909655,-5.680930898450791,-11.35202260150756,0.004366812227074236,1.0,5.676855895196507,0.003330422125181946
model_14,25,0.05,3.0,500,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.0009515491786234126,0.0007939658594680427,0.0006055312954876262,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.424000000000007,5.424000000000007,0.2593917148905969,-5.6770881036909655,-5.680930898450791,-11.35202260150756,0.004366812227074236,1.0,5.676855895196507,0.003330422125181946
model_15,25,0.05,3.0,1000,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.0009515491786234126,0.0007939658594680427,0.0006055312954876262,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.424000000000007,5.424000000000007,0.2593917148905969,-5.6770881036909655,-5.680930898450791,-11.35202260150756,0.004366812227074236,1.0,5.676855895196507,0.003330422125181946
model_16,25,0.05,3.0,2000,229,5.681222707423581,1.0043668122270741,0.0012476606363069245,0.0009515491786234126,0.0007939658594680427,0.0006055312954876262,0.0,0.0007278020378457057,0.0,0.004366812227074236,5.424000000000007,5.424000000000007,0.2593917148905969,-5.6770881036909655,-5.680930898450791,-11.35202260150756,0.004366812227074236,1.0,5.676855895196507,0.003330422125181946
