model_id,drift_confidence,warning_confidence,ma_window,min_gap_samples,n_records,two_side_option,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,0.0001,0.001,1,500,458,0.5,180554.47598253275,5.681222707423581,153.85807860262008,0.1331981324938787,0.11070225623379557,0.27502708610775356,0.24131057038363873,0.5548744957057954,0.6734682802641317,0.05530075992856526,0.10823667957630972,2.543583547557843,4.07512082262211,10.257245077067761,-13.330054809757588,-26.957311339319226,-8.93782392488943,4.037117903930131,144.17248908296943,1.6441048034934498,3.6886652110625913
model_2,0.0001,0.001,1,1000,458,0.5,180554.47598253275,5.681222707423581,93.82314410480349,0.15817698661536186,0.12895335714082137,0.3145332178780085,0.26868659745622836,0.45663245087532267,0.6515198463165969,0.06293157462311527,0.12849353753263687,3.3843367875647656,4.998497409326424,6.287474541557584,-8.37323078126829,-16.71407762544622,-6.7835933853801995,3.9017467248908297,87.8056768558952,1.779475982532751,3.4189010189228535
model_3,0.0001,0.001,1,2000,458,0.5,180554.47598253275,5.681222707423581,54.96506550218341,0.1824197172216972,0.12741615905510503,0.3329844120588247,0.23829543890244392,0.2704585299322648,0.578393507803667,0.06467078358136671,0.1510413610617945,4.845340369393144,6.579379947229554,3.72987251008302,-5.820579642314591,-10.708988464026508,-6.323973484733742,3.3820960698689957,51.36244541484716,2.2991266375545854,2.381682678311499
model_4,0.0001,0.001,1,3000,458,0.5,180554.47598253275,5.681222707423581,39.709606986899566,0.17038603503118996,0.11315065767070481,0.2851512681371458,0.19037712259071732,0.19644384998225226,0.4422043993695034,0.06298335846185503,0.1485278661581889,5.057143646408841,6.568861878453039,2.7486146163005976,-5.475718697469757,-8.996090635150901,-7.202432291947962,2.589519650655022,37.120087336244545,3.091703056768559,1.71424308588064
model_5,0.0001,0.001,1,5000,458,0.5,180554.47598253275,5.681222707423581,26.08951965065502,0.14861623815160396,0.10175553360947506,0.21497808491127177,0.15013145812030398,0.1309795192035752,0.29087729349738084,0.061030914318575255,0.14409650804871038,4.822544891640869,6.0391826625387015,1.825958961001988,-5.57166038175173,-7.87925736951635,-8.690787652061559,1.6812227074235808,24.40829694323144,4.0,1.1505720524017466
model_6,0.0001,0.001,10,500,458,0.5,180554.47598253275,5.681222707423581,90.51091703056768,0.13799628602408937,0.11387295486236634,0.27693399420753734,0.23654541817916944,0.4198723132691152,0.5749083657444818,0.05847057296656549,0.10176848915731465,3.1592692307692274,4.843879120879119,6.34954488805169,-8.831924158119039,-16.814863603912016,-7.8644719024714576,3.3973799126637556,84.2117903930131,2.2838427947598254,2.9474919941775837
model_7,0.0001,0.001,10,1000,458,0.5,180554.47598253275,5.681222707423581,63.47379912663755,0.1556600437006436,0.12388790847032957,0.3015107846888577,0.24726510708033766,0.36094905216084255,0.5628062215205806,0.06473846027218688,0.11604328321541359,3.7800219780219773,5.425302747252747,4.476799542137954,-6.709768730549893,-12.315729721837199,-7.046526226172615,3.2816593886462884,59.085152838427945,2.3995633187772927,2.704729257641921
model_8,0.0001,0.001,10,2000,458,0.5,180554.47598253275,5.681222707423581,42.05240174672489,0.16345692101891238,0.1155246876519164,0.2933996706026258,0.2100646992070063,0.23382834396673338,0.47983697008388765,0.06351426121268172,0.12616577404258858,4.884660869565217,6.492797681159418,2.994533309995095,-5.481528808879093,-9.187305347750236,-7.065321762150944,2.7641921397379914,39.18777292576419,2.9170305676855897,1.9461237263464342
model_9,0.0001,0.001,10,3000,458,0.5,180554.47598253275,5.681222707423581,32.2467248908297,0.14399351196879662,0.09903865607216424,0.2379173926632839,0.1655864009286285,0.16282408671472373,0.3611264137224194,0.055602151624242264,0.11797738132208598,4.937949526813877,6.4158517350157735,2.3468618971381816,-5.404187499562536,-8.235543386138097,-7.861872001689601,2.1593886462882095,30.087336244541486,3.521834061135371,1.4761222707423585
model_10,0.0001,0.001,10,5000,458,0.5,180554.47598253275,5.681222707423581,22.43231441048035,0.11809650497758255,0.07909269963536655,0.17441693667198696,0.1179700495526709,0.10533911888265855,0.23749870035350384,0.049600393581873514,0.10497974827278686,5.015102941176477,6.103327941176477,1.673050030326733,-5.602945317329661,-7.562289569005739,-9.112356160923934,1.4213973799126638,21.010917030567686,4.259825327510917,0.94862154294032
model_11,0.0001,0.001,50,500,458,0.5,180554.47598253275,5.681222707423581,50.75545851528384,0.13546453697680896,0.10599533170929393,0.24427549870465934,0.1966306280671108,0.27912813490131755,0.4357396419190023,0.06707167280882471,0.11369377681462715,3.9481036585365903,5.4658414634146375,3.5469685409733622,-6.676658921644136,-11.188797621016688,-8.132379964970962,2.486899563318777,47.342794759825324,3.1943231441048034,2.002039301310043
model_12,0.0001,0.001,50,1000,458,0.5,180554.47598253275,5.681222707423581,41.56113537117904,0.1437869928694832,0.10864525009996502,0.25214191696917765,0.19579369023646212,0.248251392198862,0.42292111643672137,0.0694861517175991,0.12146303525384988,4.243558282208593,5.758195705521476,2.9259121236448395,-5.979923651406942,-9.66614105599665,-7.9119241194177645,2.38646288209607,38.7707423580786,3.2947598253275108,1.8342503639010186
model_13,0.0001,0.001,50,2000,458,0.5,180554.47598253275,5.681222707423581,31.458515283842793,0.14330107534330863,0.09927261105802364,0.23553060400679507,0.16548661995729252,0.16801149784228386,0.359563281140471,0.06523089465714552,0.12545869300921483,5.0495897435897446,6.384354487179492,2.240886828981174,-5.54969469867211,-8.326646975876047,-8.159035153956605,2.024017467248908,29.41048034934498,3.6572052401746724,1.3921542940320224
model_14,0.0001,0.001,50,3000,458,0.5,180554.47598253275,5.681222707423581,25.600436681222707,0.1344110648465105,0.09115896481133964,0.20982519152160697,0.14430754262741546,0.1371731325799525,0.30195948395441075,0.06021726919044193,0.12133749572879479,5.08135810810811,6.317773648648649,1.8669696041105073,-5.479524046833221,-7.723697942001358,-8.612895614532995,1.6921397379912664,23.90829694323144,3.989082969432314,1.1324774381368263
model_15,0.0001,0.001,50,5000,458,0.5,180554.47598253275,5.681222707423581,18.79694323144105,0.10512066467564149,0.07206769156854048,0.14833728009296895,0.10204440843806281,0.08993402635837774,0.19421185138177174,0.05587146820007418,0.1046954600944136,4.943674796747973,5.972658536585371,1.4157037436254072,-5.593936223874556,-7.229285209122102,-9.457484438674364,1.1637554585152838,17.633187772925766,4.5174672489082965,0.7911353711790386
model_16,0.0001,0.001,100,500,458,0.5,180554.47598253275,5.681222707423581,46.05240174672489,0.1247128472997879,0.09784698169075999,0.2269185976295859,0.18352923550649086,0.2570261197332222,0.40350502203507593,0.056332016414916405,0.10370635584209227,3.885619672131155,5.454784262295085,3.2504164133654943,-6.520098570321382,-10.611861130209746,-8.334479299110823,2.2707423580786026,43.00218340611354,3.410480349344978,1.8142197962154285
model_17,0.0001,0.001,100,1000,458,0.5,180554.47598253275,5.681222707423581,38.338427947598255,0.13031741926498855,0.0993045126293513,0.2310293014071011,0.181406618189416,0.22639871509316667,0.38852744655949123,0.05993065552853603,0.11006128900543258,4.265769736842114,5.717846710526319,2.734300734888784,-5.9737002612819055,-9.376576128266803,-8.202393332156271,2.1615720524017465,35.84497816593886,3.519650655021834,1.6570800582241623
model_18,0.0001,0.001,100,2000,458,0.5,180554.47598253275,5.681222707423581,29.33842794759825,0.1275884409408714,0.08954788272607306,0.21270452414035065,0.15163827350020503,0.15312629617150553,0.3247627964266803,0.05521380587489682,0.1121045240691391,5.041200000000002,6.346200689655178,2.121068939483727,-5.614774127453245,-8.205102560752984,-8.465898120410364,1.8231441048034935,27.495633187772924,3.8580786026200875,1.2596986899563307
model_19,0.0001,0.001,100,3000,458,0.5,180554.47598253275,5.681222707423581,24.078602620087338,0.12135845724984327,0.08239626893492487,0.190332098926152,0.1321752403896254,0.1238413832364513,0.27051433204464287,0.05154335310358773,0.11088990903046105,5.120826568265685,6.351218450184504,1.770675238435505,-5.576590647223883,-7.692509117382306,-8.902910888127206,1.5262008733624455,22.55240174672489,4.155021834061135,1.0152721979621535
model_20,0.0001,0.001,100,5000,458,0.5,180554.47598253275,5.681222707423581,17.74890829694323,0.10189723125176532,0.06997408584706703,0.14403658908122294,0.10022768757654658,0.08729417274080772,0.18624688148994595,0.04909880567195541,0.10088578694879845,5.004991596638659,6.023199159663868,1.340278556869624,-5.602963991519132,-7.148727898535592,-9.568073304386447,1.0938864628820961,16.655021834061134,4.5873362445414845,0.7437307132459964
model_21,0.0001,0.005,1,500,458,0.5,180554.47598253275,5.681222707423581,153.85807860262008,0.1331981324938787,0.11070225623379557,0.27502708610775356,0.24131057038363873,0.5548744957057954,0.6734682802641317,0.05530075992856526,0.10823667957630972,2.543583547557843,4.07512082262211,10.257245077067761,-13.330054809757588,-26.957311339319226,-8.93782392488943,4.037117903930131,144.17248908296943,1.6441048034934498,3.6886652110625913
model_22,0.0001,0.005,1,1000,458,0.5,180554.47598253275,5.681222707423581,93.82314410480349,0.15817698661536186,0.12895335714082137,0.3145332178780085,0.26868659745622836,0.45663245087532267,0.6515198463165969,0.06293157462311527,0.12849353753263687,3.3843367875647656,4.998497409326424,6.287474541557584,-8.37323078126829,-16.71407762544622,-6.7835933853801995,3.9017467248908297,87.8056768558952,1.779475982532751,3.4189010189228535
model_23,0.0001,0.005,1,2000,458,0.5,180554.47598253275,5.681222707423581,54.96506550218341,0.1824197172216972,0.12741615905510503,0.3329844120588247,0.23829543890244392,0.2704585299322648,0.578393507803667,0.06467078358136671,0.1510413610617945,4.845340369393144,6.579379947229554,3.72987251008302,-5.820579642314591,-10.708988464026508,-6.323973484733742,3.3820960698689957,51.36244541484716,2.2991266375545854,2.381682678311499
model_24,0.0001,0.005,1,3000,458,0.5,180554.47598253275,5.681222707423581,39.709606986899566,0.17038603503118996,0.11315065767070481,0.2851512681371458,0.19037712259071732,0.19644384998225226,0.4422043993695034,0.06298335846185503,0.1485278661581889,5.057143646408841,6.568861878453039,2.7486146163005976,-5.475718697469757,-8.996090635150901,-7.202432291947962,2.589519650655022,37.120087336244545,3.091703056768559,1.71424308588064
model_25,0.0001,0.005,1,5000,458,0.5,180554.47598253275,5.681222707423581,26.08951965065502,0.14861623815160396,0.10175553360947506,0.21497808491127177,0.15013145812030398,0.1309795192035752,0.29087729349738084,0.061030914318575255,0.14409650804871038,4.822544891640869,6.0391826625387015,1.825958961001988,-5.57166038175173,-7.87925736951635,-8.690787652061559,1.6812227074235808,24.40829694323144,4.0,1.1505720524017466
model_26,0.0001,0.005,10,500,458,0.5,180554.47598253275,5.681222707423581,90.51091703056768,0.13799628602408937,0.11387295486236634,0.27693399420753734,0.23654541817916944,0.4198723132691152,0.5749083657444818,0.05847057296656549,0.10176848915731465,3.1592692307692274,4.843879120879119,6.34954488805169,-8.831924158119039,-16.814863603912016,-7.8644719024714576,3.3973799126637556,84.2117903930131,2.2838427947598254,2.9474919941775837
model_27,0.0001,0.005,10,1000,458,0.5,180554.47598253275,5.681222707423581,63.47379912663755,0.1556600437006436,0.12388790847032957,0.3015107846888577,0.24726510708033766,0.36094905216084255,0.5628062215205806,0.06473846027218688,0.11604328321541359,3.7800219780219773,5.425302747252747,4.476799542137954,-6.709768730549893,-12.315729721837199,-7.046526226172615,3.2816593886462884,59.085152838427945,2.3995633187772927,2.704729257641921
model_28,0.0001,0.005,10,2000,458,0.5,180554.47598253275,5.681222707423581,42.05240174672489,0.16345692101891238,0.1155246876519164,0.2933996706026258,0.2100646992070063,0.23382834396673338,0.47983697008388765,0.06351426121268172,0.12616577404258858,4.884660869565217,6.492797681159418,2.994533309995095,-5.481528808879093,-9.187305347750236,-7.065321762150944,2.7641921397379914,39.18777292576419,2.9170305676855897,1.9461237263464342
model_29,0.0001,0.005,10,3000,458,0.5,180554.47598253275,5.681222707423581,32.2467248908297,0.14399351196879662,0.09903865607216424,0.2379173926632839,0.1655864009286285,0.16282408671472373,0.3611264137224194,0.055602151624242264,0.11797738132208598,4.937949526813877,6.4158517350157735,2.3468618971381816,-5.404187499562536,-8.235543386138097,-7.861872001689601,2.1593886462882095,30.087336244541486,3.521834061135371,1.4761222707423585
model_30,0.0001,0.005,10,5000,458,0.5,180554.47598253275,5.681222707423581,22.43231441048035,0.11809650497758255,0.07909269963536655,0.17441693667198696,0.1179700495526709,0.10533911888265855,0.23749870035350384,0.049600393581873514,0.10497974827278686,5.015102941176477,6.103327941176477,1.673050030326733,-5.602945317329661,-7.562289569005739,-9.112356160923934,1.4213973799126638,21.010917030567686,4.259825327510917,0.94862154294032
model_31,0.0001,0.005,50,500,458,0.5,180554.47598253275,5.681222707423581,50.75545851528384,0.13546453697680896,0.10599533170929393,0.24427549870465934,0.1966306280671108,0.27912813490131755,0.4357396419190023,0.06707167280882471,0.11369377681462715,3.9481036585365903,5.4658414634146375,3.5469685409733622,-6.676658921644136,-11.188797621016688,-8.132379964970962,2.486899563318777,47.342794759825324,3.1943231441048034,2.002039301310043
model_32,0.0001,0.005,50,1000,458,0.5,180554.47598253275,5.681222707423581,41.56113537117904,0.1437869928694832,0.10864525009996502,0.25214191696917765,0.19579369023646212,0.248251392198862,0.42292111643672137,0.0694861517175991,0.12146303525384988,4.243558282208593,5.758195705521476,2.9259121236448395,-5.979923651406942,-9.66614105599665,-7.9119241194177645,2.38646288209607,38.7707423580786,3.2947598253275108,1.8342503639010186
model_33,0.0001,0.005,50,2000,458,0.5,180554.47598253275,5.681222707423581,31.458515283842793,0.14330107534330863,0.09927261105802364,0.23553060400679507,0.16548661995729252,0.16801149784228386,0.359563281140471,0.06523089465714552,0.12545869300921483,5.0495897435897446,6.384354487179492,2.240886828981174,-5.54969469867211,-8.326646975876047,-8.159035153956605,2.024017467248908,29.41048034934498,3.6572052401746724,1.3921542940320224
