model_id,drift_confidence,warning_confidence,lambda_option,ma_window,min_gap_samples,n_records,two_side_option,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,0.0001,0.001,0.01,1,500,458,0.5,180554.47598253275,5.681222707423581,69.31877729257641,0.17383861726732833,0.14346540257048002,0.31817437407811516,0.265340258679784,0.39702312628719,0.5915436619777745,0.08708076353953029,0.14198410900129077,3.5234827586206903,5.395341379310337,4.535120735506333,-6.591200703487728,-12.832981464115761,-6.203934777322182,3.62882096069869,63.799126637554586,2.052401746724891,3.091994177583699
model_2,0.0001,0.001,0.01,1,1000,458,0.5,180554.47598253275,5.681222707423581,54.25764192139738,0.18823283575528107,0.14842736983623203,0.33423775272632045,0.2642624647302962,0.33160038009768295,0.5746418859988086,0.09162985343964118,0.1535544894035767,4.104196531791903,5.996449710982655,3.6033092330217023,-5.541954660362509,-10.42462855982529,-5.969613343818892,3.502183406113537,50.00873362445415,2.1790393013100435,2.7665618631732176
model_3,0.0001,0.001,0.01,1,2000,458,0.5,180554.47598253275,5.681222707423581,38.26637554585153,0.1895413004657033,0.1372014734384858,0.31295857609676414,0.22326660014362895,0.2183945125571121,0.483491144954027,0.08878020446862668,0.16016177167406456,4.921159763313605,6.696969230769227,2.5471820872424464,-4.952687996029207,-8.397417177441863,-6.505432575628555,2.8820960698689957,35.33187772925764,2.7991266375545854,2.012515283842796
model_4,0.0001,0.001,0.01,1,3000,458,0.5,180554.47598253275,5.681222707423581,29.746724890829693,0.17918582547957732,0.12607494969301716,0.2721140216408088,0.1881007665642906,0.18648620801523447,0.379522342115458,0.09057676426178435,0.15991739114435088,4.966269938650298,6.405842944785271,2.0009522292688984,-5.0054580623891525,-7.6675166064567915,-7.412420056730879,2.2794759825327513,27.467248908296945,3.4017467248908297,1.5412372634643383
model_5,0.0001,0.001,0.01,1,5000,458,0.5,180554.47598253275,5.681222707423581,20.96943231441048,0.16408514164312338,0.1135790196329003,0.2248598408898307,0.15285420949338221,0.12200563158050956,0.2837507983924629,0.08386654861744136,0.1581197133815606,5.19454304635762,6.267153642384107,1.4304943129601388,-5.224521626149133,-7.090197982843921,-8.610460740378159,1.6157205240174672,19.353711790393014,4.065502183406114,1.0859854439592422
model_6,0.0001,0.001,0.01,10,500,458,0.5,180554.47598253275,5.681222707423581,68.51965065502183,0.16091012494589343,0.13053894635070387,0.30920871204048467,0.25510759901280655,0.38900210800416296,0.5837645112401084,0.07014724623323845,0.11887861050533653,3.6168786127167682,5.4849040462427725,4.653532752833079,-6.5205458884840874,-12.61229396836929,-6.247597612733626,3.558951965065502,63.12663755458515,2.1222707423580784,3.0255807860262016
model_7,0.0001,0.001,0.01,10,1000,458,0.5,180554.47598253275,5.681222707423581,53.82532751091703,0.17512057670620634,0.13534639151421865,0.32513706093509676,0.25355536715191646,0.32007004968088965,0.5670637714883797,0.07349368523801884,0.13041274094088656,4.241383720930232,6.09814069767442,3.724213351346743,-5.507421847578574,-10.28009352082855,-6.029382954185027,3.445414847161572,49.65938864628821,2.2358078602620086,2.7208122270742354
model_8,0.0001,0.001,0.01,10,2000,458,0.5,180554.47598253275,5.681222707423581,38.16593886462882,0.1786471416507588,0.12694362642754634,0.306203320695503,0.21566289119553603,0.20889829552814398,0.4771762868378589,0.071749108574506,0.1383975720983689,4.9975833333333375,6.789385714285716,2.660476343911177,-4.917731764148118,-8.297128253367505,-6.520609938752397,2.8384279475982535,35.2882096069869,2.8427947598253276,1.9810655021834054
model_9,0.0001,0.001,0.01,10,3000,458,0.5,180554.47598253275,5.681222707423581,29.80349344978166,0.16767378131720115,0.11108708121880607,0.2664313243423409,0.17713908951545065,0.16808838797985984,0.37634234040925535,0.0626375718999314,0.13422262895064604,5.214987499999999,6.7189475000000005,2.124555973050467,-4.982962002774979,-7.599866560996596,-7.4125009900397165,2.2445414847161573,27.558951965065503,3.4366812227074237,1.4770858806404659
model_10,0.0001,0.001,0.01,10,5000,458,0.5,180554.47598253275,5.681222707423581,21.100436681222707,0.1367645395611335,0.08664276423972285,0.1933996425903741,0.12054155445278056,0.09341011865093549,0.24932120566592697,0.05708195389774428,0.12237338780391323,5.461460992907803,6.5310723404255295,1.5605858421149326,-5.245551010323468,-7.089611670921273,-8.672865658190506,1.51528384279476,19.58515283842795,4.165938864628821,1.0016186317321687
