model_id,alpha,window_size,stat_size,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,0.001,50,20,1,500,229,180554.47598253275,5.681222707423581,348.82096069868993,0.08682292365577447,0.08682292365577447,0.26587816739652,0.26587816739652,0.9989362893293023,0.9989362893293023,0.03940888726362009,0.04865980262488636,1.0856681222707445,1.5819886462882158,24.695358628031727,-27.785340417350607,-59.00324704796055,-13.023548674098041,5.672489082969432,325.9519650655022,0.008733624454148471,5.672489082969432
model_2,0.001,50,20,1,1000,229,180554.47598253275,5.681222707423581,177.7816593886463,0.14357613988035597,0.14261150665289732,0.37948947873633654,0.3773249875374308,0.9544609891065067,0.9948447355652597,0.06804769695753812,0.0848920691494349,2.1509082969432343,3.149106550218343,12.616707748964405,-12.992656904029298,-28.940463180713433,-6.066788700185049,5.655021834061135,166.1703056768559,0.026200873362445413,5.602599708879185
model_3,0.001,50,20,1,2000,229,180554.47598253275,5.681222707423581,89.94323144104804,0.20981027469984226,0.16406624468136766,0.4758666865721886,0.37703794783923034,0.47067978543704203,0.9380381331286802,0.06669497211345445,0.13222216900009182,4.42301310043668,6.309078602620087,6.438730452087715,-6.206529574323658,-14.264984740655436,-3.6794853972713057,5.157205240174672,84.06550218340611,0.5240174672489083,3.9875109170305683
model_4,0.001,50,20,1,3000,229,180554.47598253275,5.681222707423581,60.31877729257642,0.21523806713416804,0.14219583986292858,0.43213331346118233,0.28720077900574786,0.3137895476387642,0.7244888541831773,0.06563902305840935,0.1448348726077697,5.326954954954955,7.1849216216216245,4.352716746660371,-5.4481066071635125,-10.844058296210193,-5.103842553033186,3.930131004366812,56.38864628820961,1.7510917030567685,2.5736186317321685
model_5,0.001,50,20,1,5000,229,180554.47598253275,5.681222707423581,36.4410480349345,0.18460489878207678,0.12272554468291999,0.30847300524821486,0.20535625697210572,0.1819386011140442,0.44236145201660226,0.05939171972087236,0.14042357114593676,5.233666666666661,6.525148484848478,2.663753184066349,-5.501720380601344,-8.738791308588281,-7.5513071873502335,2.3668122270742358,34.07423580786026,3.314410480349345,1.5459184861717612
model_6,0.001,50,20,10,500,229,180554.47598253275,5.681222707423581,349.77292576419217,0.08678182489551282,0.08678175910549811,0.26501745504156593,0.26501728226956883,0.997962154294032,0.9981804949053857,0.03926447212723248,0.048735661044742334,1.0453799126637537,1.5562096069868987,24.784823495626046,-27.87754552002812,-59.18628603185864,-13.079070460619407,5.672489082969432,326.8646288209607,0.008733624454148471,5.672483260553129
model_7,0.001,50,20,10,1000,229,180554.47598253275,5.681222707423581,178.04366812227073,0.14359378480390206,0.14265639046905798,0.37993409523918503,0.3778967560379497,0.9664321917629135,0.9963283320270221,0.06837814069686118,0.0848564018558747,2.0766724890829744,3.0801947598253276,12.637666117335055,-13.008005440238547,-28.979319448117955,-6.079116995250805,5.655021834061135,166.3711790393013,0.026200873362445413,5.6026841339155755
model_8,0.001,50,20,10,2000,229,180554.47598253275,5.681222707423581,89.99126637554585,0.21075740777988178,0.1667448334104159,0.47746891858724744,0.38197787803937844,0.4878528516179428,0.9407448393288362,0.06829249486051508,0.13283402891906682,4.2556855895196515,6.1949580786026175,6.431131672880684,-6.258944286242297,-14.317899306447545,-3.7665846800698035,5.170305676855895,84.04803493449782,0.5109170305676856,4.053321688500729
model_9,0.001,50,20,10,3000,229,180554.47598253275,5.681222707423581,60.34061135371179,0.21543785013656144,0.14389525325846375,0.4329271412797457,0.29046526436683867,0.31825513299954605,0.737872013963717,0.06586349800007343,0.14506522150239126,5.3438125,7.205238392857142,4.353831094525791,-5.436780766645579,-10.835123838834031,-5.091321020944364,3.930131004366812,56.41048034934498,1.7510917030567685,2.5877787481804946
model_10,0.001,50,20,10,5000,229,180554.47598253275,5.681222707423581,36.45851528384279,0.18665226051849831,0.12415601537141263,0.31264121429849745,0.20747747348842743,0.1819235346238942,0.4508797311231167,0.0608196597815276,0.1416933761636536,5.251721393034825,6.566346268656719,2.6608979110039046,-5.461810228591699,-8.697920698754963,-7.4813095786629065,2.393013100436681,34.06550218340611,3.2882096069868996,1.55389519650655
