model_id,lambda_,delta,alpha,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,1.0,0.001,0.99,10,500,229,180554.47598253275,5.681222707423581,314.92139737991266,0.09380721507861595,0.09378757315330184,0.28133157098428196,0.2812500437465306,0.99617903930131,0.9994541484716157,0.04288822894730903,0.0530046586716362,1.266410480349341,1.802251528384278,22.4294887398814,-24.73345731522003,-52.89311721309805,-11.509522562787573,5.676855895196507,294.2008733624454,0.004366812227074236,5.675403202328966
model_2,1.0,0.001,0.99,10,1000,229,180554.47598253275,5.681222707423581,167.764192139738,0.14883798681664479,0.1471973416979952,0.3894641977692616,0.38548896599229865,0.9049010576431589,0.9946543873399768,0.06875003313628876,0.0883910074828381,2.2604366812227075,3.389807860262007,11.95299507070936,-12.11376092810421,-27.14460428686785,-5.663841432128503,5.650655021834061,156.6288209606987,0.03056768558951965,5.573740902474527
model_3,1.0,0.001,0.99,10,2000,229,180554.47598253275,5.681222707423581,87.23144104803494,0.21141041705230237,0.15845847592144854,0.47565076646531285,0.3573058593968855,0.4231067559605962,0.9284216664546744,0.06484216765776142,0.13398986220907227,4.798908296943226,6.674077729257636,6.278414196293656,-6.177460104506618,-14.000773057399947,-3.7941879075359384,5.117903930131004,81.59825327510917,0.5633187772925764,3.7240844250363927
model_4,1.0,0.001,0.99,10,4000,229,180554.47598253275,5.681222707423581,44.66375545851528,0.18571869159574497,0.12473452719021638,0.33218187007546573,0.22213740104150828,0.21381608551850012,0.5007883716591653,0.06290830253991796,0.13468489202781428,5.376458536585365,6.869970731707316,3.292979071752083,-5.50983646729547,-9.495748903908526,-6.765788545932174,2.8296943231441047,41.83406113537118,2.851528384279476,1.8672372634643375
model_5,1.0,0.001,0.99,50,500,229,180554.47598253275,5.681222707423581,265.91266375545854,0.10379602825553087,0.10237963941832313,0.3031130712491823,0.29859219435013573,0.9356901589434341,0.9821447233019286,0.04661493434501577,0.0591748491307963,1.5264104803493446,2.50530567685589,19.291862967024016,-20.5983188979473,-44.30688495366537,-9.735302245634118,5.598253275109171,248.05240174672488,0.08296943231441048,5.5380407569141195
model_6,1.0,0.001,0.99,50,1000,229,180554.47598253275,5.681222707423581,149.80786026200875,0.15560445309238358,0.15065281347027537,0.39967759875174713,0.3870201076960772,0.8155333250247199,0.9646046941898471,0.0687143323651892,0.09286811508302845,2.4912105263157844,3.8828807017543823,10.845381898368078,-10.764551041666339,-24.151464468825043,-5.2719676905324,5.537117903930131,139.73799126637556,0.14410480349344978,5.353269286754003
model_7,1.0,0.001,0.99,50,2000,229,180554.47598253275,5.681222707423581,81.38864628820961,0.21310626166707336,0.15800567855444736,0.4716462534813818,0.34958496860571975,0.41858413762793417,0.8841132980100358,0.06729202404507419,0.1355035602554112,4.86288495575221,6.768280530973449,5.919799318314828,-5.8326913711132145,-13.123474092050687,-3.8248545957973157,4.9475982532751095,76.0174672489083,0.7336244541484717,3.632241630276565
model_8,1.0,0.001,0.99,50,4000,229,180554.47598253275,5.681222707423581,43.0174672489083,0.1875757648374026,0.12576086737182463,0.3318972848706771,0.2250003993474298,0.2232320053152316,0.4802277602239072,0.06586357998785462,0.13643272670168488,5.333220512820511,6.84084923076923,3.1863584757838628,-5.342758944861805,-9.169681986212087,-6.669472096675747,2.816593886462882,40.200873362445414,2.8646288209606987,1.8510917030567695
model_9,1.0,0.001,0.99,200,500,229,180554.47598253275,5.681222707423581,150.51965065502182,0.1514167623382115,0.1373102379168054,0.3838966687655357,0.3468710451942736,0.6788524968623864,0.9205324882469758,0.05936580618794486,0.09137984057799335,2.916596491228074,4.749611403508773,10.661687036658687,-11.62130958985245,-25.15860024161854,-6.389782167899537,5.152838427947598,140.56331877729258,0.5283842794759825,4.6333973799126635
model_10,1.0,0.001,0.99,200,1000,229,180554.47598253275,5.681222707423581,103.37554585152839,0.18369943395412391,0.15331575423293198,0.43058334428968315,0.359947692007914,0.5460680937209321,0.8923838968919883,0.06474298546282732,0.11418337524858435,3.790789473684212,5.659311403508774,7.4356151591194015,-7.837552851786613,-17.124271139814336,-4.919084537467074,4.925764192139738,96.53711790393012,0.7554585152838428,4.069292576419214
