model_id,delta,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,0.005,10,1000,22,525000.0,26.90909090909091,205.13636363636363,0.12056228748034177,0.09951855645557357,0.2707846055092408,0.2326577531766821,0.43031690822569124,0.6232988690788054,0.04957739956153298,0.08021397293461165,3.160909090909058,5.802299999999994,5.318181818181818,-26.885803390610274,-42.224049975330416,-37.48940737097748,12.727272727272727,186.13636363636363,14.181818181818182,10.055303030303048
model_2,0.005,10,2000,22,525000.0,26.90909090909091,126.27272727272727,0.1364402264359361,0.08987631854048475,0.28017064397773117,0.19128618534591713,0.3110027311015289,0.542639361613455,0.05175101849217544,0.09647284563206396,4.468363636363638,7.268045454545449,3.283116883116883,-23.721373564877457,-33.43389842840207,-38.22874749675152,10.454545454545455,114.9090909090909,16.454545454545453,7.12015151515153
model_3,0.005,10,3000,22,525000.0,26.90909090909091,92.86363636363636,0.11839389137277503,0.08393057096020468,0.22363677791810985,0.16525380034234047,0.2602918505360848,0.3984588925090111,0.055322880098447436,0.09105171771172003,3.9685714285714058,6.7026190476190175,2.422077922077922,-23.933033097229465,-31.12783791086778,-41.24472159950122,8.090909090909092,84.77272727272727,18.818181818181817,5.367575757575775
model_4,0.005,10,4000,22,525000.0,26.90909090909091,74.4090909090909,0.10979027430125216,0.0796386230705271,0.19595591146863242,0.14614403310675714,0.21197970696589644,0.3277228340316279,0.05832015890328571,0.08856641255786542,3.7859999999999663,7.237357894736837,1.938961038961039,-24.157990924177923,-29.947962379712862,-43.17209610550137,6.545454545454546,67.86363636363636,20.363636363636363,4.446818181818194
model_5,0.005,10,5000,22,525000.0,26.90909090909091,61.63636363636363,0.10895588062894314,0.07767382349753565,0.18400531104156867,0.13628278442553982,0.18242657118567224,0.2921751842002593,0.055330319879034404,0.09252235124926748,4.56329999999997,7.136599999999997,1.6064935064935064,-25.1598830444917,-30.02487999582438,-45.727384568825364,5.409090909090909,56.22727272727273,21.5,3.6361212121212243
model_6,0.005,25,1000,22,525000.0,26.90909090909091,241.6818181818182,0.11034796103099716,0.09250974720935234,0.2691690615108173,0.2364670448376448,0.48589907185776654,0.6764570890410796,0.04853263574869555,0.07033080094160542,3.4422727272727225,5.9164818181818,6.287012987012987,-26.715906889710734,-44.71444417575852,-34.44391097395956,14.318181818181818,220.04545454545453,12.590909090909092,11.659484848484862
model_7,0.005,25,2000,22,525000.0,26.90909090909091,143.9090909090909,0.1315870867989566,0.08952206790025997,0.2889543367473966,0.20153971567009119,0.32045709095073716,0.5974100491751293,0.051680290860198964,0.0899606199813917,4.7201818181817865,7.631381818181809,3.7363636363636363,-22.553874833465237,-33.556356489026484,-35.05263400568461,12.0,130.77272727272728,14.909090909090908,8.127484848484869
model_8,0.005,25,3000,22,525000.0,26.90909090909091,105.13636363636364,0.1237621738826144,0.09026039549577468,0.24388431029341565,0.17973871590706916,0.2469163594741236,0.43765058333774437,0.05505208610074057,0.09089208040445707,3.9894999999999725,7.28802999999998,2.74025974025974,-23.008778183068667,-31.178516721273706,-38.83299982305706,9.227272727272727,95.9090909090909,17.681818181818183,6.427787878787896
model_9,0.005,25,4000,22,525000.0,26.90909090909091,83.0909090909091,0.11694346432074197,0.08807587214654936,0.20906070777542166,0.16035710790099825,0.23240958132817333,0.34125479933458497,0.0572573178002776,0.091274181898356,3.6767999999999867,6.563309999999992,2.1636363636363636,-23.894615728502405,-30.389587536862123,-42.010766187958914,7.363636363636363,75.72727272727273,19.545454545454547,5.208212121212127
model_10,0.005,25,5000,22,525000.0,26.90909090909091,68.5909090909091,0.11630784508649912,0.08248582393303856,0.20152311373861886,0.1458885652721909,0.1867198354631723,0.31533632871858325,0.051888392548491584,0.09315798616316928,4.444999999999998,7.216499999999999,1.7857142857142856,-24.447585713975084,-29.832582319373362,-44.02781468400322,6.090909090909091,62.5,20.818181818181817,4.048575757575763
