model_id,window_size,regime_threshold,regime_landmark,min_gap_samples,n_records,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,25,0.05,2.0,200,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_2,25,0.05,2.0,500,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_3,25,0.05,2.0,1000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_4,25,0.05,2.0,2000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_5,25,0.05,2.0,3000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_6,25,0.05,2.0,5000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_7,25,0.05,2.5,200,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_8,25,0.05,2.5,500,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_9,25,0.05,2.5,1000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_10,25,0.05,2.5,2000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_11,25,0.05,2.5,3000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_12,25,0.05,2.5,5000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_13,25,0.05,3.0,200,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_14,25,0.05,3.0,500,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_15,25,0.05,3.0,1000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_16,25,0.05,3.0,2000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_17,25,0.05,3.0,3000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_18,25,0.05,3.0,5000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_19,25,0.05,3.5,200,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_20,25,0.05,3.5,500,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_21,25,0.05,3.5,1000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_22,25,0.05,3.5,2000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_23,25,0.05,3.5,3000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_24,25,0.05,3.5,5000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_25,25,0.05,4.0,200,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_26,25,0.05,4.0,500,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_27,25,0.05,4.0,1000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_28,25,0.05,4.0,2000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_29,25,0.05,4.0,3000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_30,25,0.05,4.0,5000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_31,25,0.05,4.5,200,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_32,25,0.05,4.5,500,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_33,25,0.05,4.5,1000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
model_34,25,0.05,4.5,2000,22,26.90909090909091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0285714285714285,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.0,1.0,26.90909090909091,0.0
