model_id,drift_confidence,warning_confidence,lambda_option,ma_window,min_gap_samples,n_records,two_side_option,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,0.0001,0.001,0.01,1,500,44,0.5,525000.0,26.90909090909091,27.09090909090909,0.045405010290239994,0.045405010290239994,0.05105929437887546,0.05105929437887546,0.08521347933112638,0.08521347933112638,0.06254711292024724,0.13972875704032045,1.5487499999999987,1.64744999999999,0.7090909090909091,-28.295803833581864,-30.238690114739857,-53.91526978391196,0.6818181818181818,24.818181818181817,26.227272727272727,0.6818181818181818
model_2,0.0001,0.001,0.01,1,1000,44,0.5,525000.0,26.90909090909091,15.272727272727273,0.05301579733397914,0.051043716384625466,0.05845600456971429,0.05601565038790904,0.04434046345811051,0.08521347933112638,0.04786682615629984,0.1762121212121212,3.2237499999999915,3.559574999999994,0.4012987012987013,-27.60457246599241,-28.702324097829152,-53.73751483189221,0.6818181818181818,14.045454545454545,26.227272727272727,0.6297575757575768
model_3,0.0001,0.001,0.01,1,2000,44,0.5,525000.0,26.90909090909091,8.0,0.05988392920211101,0.02818343399025215,0.06306831336953388,0.02809019250544298,0.01403743315508021,0.07763772175536882,0.06876456876456877,0.18356643356643357,5.852750000000001,6.0840000000000005,0.21038961038961038,-27.138167387044255,-27.70299264359417,-53.58302748604203,0.5909090909090909,7.363636363636363,26.318181818181817,0.341333333333333
model_4,0.0001,0.001,0.01,1,3000,44,0.5,525000.0,26.90909090909091,5.409090909090909,0.014354760117471978,0.012628514611565472,0.013493868185862285,0.00873459319294249,0.010249554367201423,0.017825311942959,0.09133790737564323,0.09219554030874785,3.0413333333333057,3.0845333333333076,0.14805194805194805,-27.10865910650483,-27.49362419217663,-53.68890383639621,0.22727272727272727,5.181818181818182,26.681818181818183,0.12542424242424358
model_5,0.0001,0.001,0.01,1,5000,44,0.5,525000.0,26.90909090909091,3.409090909090909,0.014435856541119695,0.013470944260417955,0.012407147907661896,0.0102753649619255,0.01403743315508021,0.01403743315508021,0.09232954545454546,0.09232954545454546,1.9499999999999817,2.9321999999999733,0.09220779220779218,-26.991024357489668,-27.22102403192653,-53.69420633845305,0.18181818181818182,3.227272727272727,26.727272727272727,0.14515151515151578
model_6,0.0001,0.001,0.01,10,500,44,0.5,525000.0,26.90909090909091,26.954545454545453,0.0384094953045739,0.0384094953045739,0.04688012016991021,0.04688012016991021,0.0814256005432476,0.0814256005432476,0.0534536817994067,0.09427289977574606,1.7145714285714184,1.802571428571423,0.7116883116883117,-28.321163704239222,-30.271668174074843,-53.93682056023051,0.6363636363636364,24.90909090909091,26.272727272727273,0.6363636363636364
model_7,0.0001,0.001,0.01,10,1000,44,0.5,525000.0,26.90909090909091,15.181818181818182,0.04671149557513193,0.04372251485887849,0.05488711338614421,0.05208129417828303,0.04055258467023173,0.0814256005432476,0.025136612021857917,0.13126262626262625,3.7668571428571314,4.106771428571422,0.4012987012987013,-27.550609169589425,-28.64401334622518,-53.64027071763518,0.6363636363636364,14.045454545454545,26.272727272727273,0.5899696969696978
model_8,0.0001,0.001,0.01,10,2000,44,0.5,525000.0,26.90909090909091,7.954545454545454,0.046667978486160305,0.0187503935458481,0.05362527213567738,0.021269044482352305,0.010249554367201423,0.066815210932858,0.02331002331002331,0.11509324009324008,6.437999999999994,6.765866666666667,0.21298701298701295,-27.158206173763666,-27.72799151389903,-53.60058623096871,0.45454545454545453,7.454545454545454,26.454545454545453,0.24896969696969845
model_9,0.0001,0.001,0.01,10,3000,44,0.5,525000.0,26.90909090909091,5.409090909090909,0.0073617531244649865,0.005636021229241596,0.009323726401041605,0.0045658674375752455,0.006461675579322637,0.014037433155080214,0.045883361921097765,0.0467409948542024,4.509999999999939,4.578399999999959,0.14935064935064934,-27.108607260013628,-27.493572282388925,-53.688852021553245,0.18181818181818182,5.2272727272727275,26.727272727272727,0.08000000000000175
model_10,0.0001,0.001,0.01,10,5000,44,0.5,525000.0,26.90909090909091,3.409090909090909,0.007442849548112704,0.006479532163742709,0.008237006122841213,0.006108746785279604,0.010249554367201423,0.010249554367201423,0.046875,0.046875,2.876999999999959,4.346699999999942,0.09350649350649348,-26.990947102772815,-27.220946777249296,-53.69412908371639,0.13636363636363635,3.272727272727273,26.772727272727273,0.09975757575757664
