model_id,alpha,window_size,stat_size,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,0.001,50,20,1,500,22,525000.0,26.90909090909091,1012.9545454545455,0.05496011880985785,0.053672740760972,0.18588047895282098,0.18279229033051214,0.9965546455160905,0.9989823609226595,0.027078318116193854,0.029760332501493226,0.9488181818181577,2.0384909090909047,26.492207792207793,-77.16085220609433,-163.3707145371586,-40.828648313289484,26.772727272727273,927.2272727272727,0.13636363636363635,26.139090909090907
model_2,0.001,50,20,1,1000,22,525000.0,26.90909090909091,516.0909090909091,0.08822073413009679,0.07663792419911773,0.26442957137665457,0.23988581901671358,0.9058988069726941,0.9741138897678335,0.04251050570894188,0.05003261860505055,2.120363636363601,4.555481818181799,13.47272727272727,-37.996794687588526,-82.04620023125383,-24.153910097574045,24.136363636363637,471.54545454545456,2.772727272727273,20.769181818181842
model_3,0.001,50,20,1,2000,22,525000.0,26.90909090909091,260.72727272727275,0.12711798364517657,0.09368525177723655,0.33764008247543464,0.26227367919720074,0.5226480547746252,0.8973250905125454,0.04687659084210804,0.07652032516082125,3.822636363636332,7.287909090909081,6.801298701298702,-22.017025483798093,-44.34096591208399,-22.173237087836966,19.681818181818183,238.04545454545453,7.2272727272727275,14.165909090909134
model_4,0.001,50,20,1,3000,22,525000.0,26.90909090909091,174.45454545454547,0.1279480084186557,0.07829473982596306,0.30193956170887765,0.19076516347074016,0.3261549707094938,0.6486288015753968,0.040847887744439426,0.0819988057919092,5.1291818181818165,8.099581818181829,4.5753246753246755,-22.765728913740702,-37.70458519647371,-30.569028045101472,14.318181818181818,160.13636363636363,12.590909090909092,8.630393939393963
model_5,0.001,50,20,1,5000,22,525000.0,26.90909090909091,105.0,0.12915709207509032,0.08594339845513695,0.26333702237205,0.18306524892809542,0.27378839178972697,0.47693481637502777,0.046753246753246706,0.09134199134199132,4.3566363636363485,7.477963636363627,2.725974025974026,-23.175284933641645,-32.12527310489228,-37.973018120743596,9.590909090909092,95.4090909090909,17.318181818181817,6.217121212121231
model_6,0.001,50,20,10,500,22,525000.0,26.90909090909091,1017.5454545454545,0.05476652302079721,0.053777533028946015,0.1854419709720821,0.18303002517403338,0.9958958839877639,0.9993215739484396,0.026896511480144412,0.029642194370533573,0.9551818181817981,2.140499999999973,26.632467532467533,-77.0180898543268,-163.6774975929638,-40.097476894099216,26.818181818181817,932.1363636363636,0.09090909090909091,26.327333333333332
model_7,0.001,50,20,10,1000,22,525000.0,26.90909090909091,517.1363636363636,0.088249338400805,0.07622847936217082,0.2645869428726456,0.2392512814957868,0.9324177078995599,0.974865204568735,0.04254216105347403,0.05003392213961792,2.1362727272726985,4.44621818181815,13.505194805194805,-38.10919935065928,-82.25260168833546,-24.446589090912106,24.227272727272727,472.6818181818182,2.6818181818181817,20.70396969696972
model_8,0.001,50,20,10,2000,22,525000.0,26.90909090909091,261.0,0.12700316102749742,0.09499709746233659,0.3372944242197695,0.2637947247580893,0.5631134836390466,0.8947904395976788,0.04771856495994422,0.0764435741192213,4.034090909090892,7.409781818181792,6.8090909090909095,-22.173340421634165,-44.46705432696662,-22.57193801442249,19.636363636363637,238.3181818181818,7.2727272727272725,14.386575757575791
model_9,0.001,50,20,10,3000,22,525000.0,26.90909090909091,174.9090909090909,0.1287306490439224,0.07834291843646563,0.30606505305699866,0.1921184397460216,0.3121002822779928,0.6639761250778006,0.039484997760859786,0.0823555754590237,5.325727272727267,7.951063636363603,4.585714285714285,-22.621109185434893,-37.599863921375075,-30.313549999282984,14.409090909090908,160.5,12.5,8.642818181818216
model_10,0.001,50,20,10,5000,22,525000.0,26.90909090909091,105.0,0.12662947633714178,0.083846385501828,0.25432224875239906,0.17606852103461657,0.2455008435844598,0.45064866291496125,0.045454545454545414,0.09004329004329002,4.5014545454545365,7.245699999999984,2.72987012987013,-23.445690837336056,-32.41067844955332,-38.37228794031833,9.454545454545455,95.54545454545455,17.454545454545453,6.105969696969714
model_11,0.001,50,20,50,500,22,525000.0,26.90909090909091,1016.8636363636364,0.05489065407629015,0.05382224196183292,0.18562244357190535,0.18305831447673926,0.9975526200701975,0.9993215739484396,0.02710255782055364,0.029721578561508363,1.0208181818181523,2.1841636363636163,26.61038961038961,-76.63864693683837,-163.20451256805129,-39.26480503032281,26.818181818181817,931.3636363636364,0.09090909090909091,26.289969696969695
model_12,0.001,50,20,50,1000,22,525000.0,26.90909090909091,517.7727272727273,0.08754445268941032,0.07570026821634732,0.2630018468175226,0.23773793528161205,0.9026688509977627,0.9725132625833041,0.04205656333315903,0.04958260450858125,2.2550909090908786,4.554699999999978,13.554545454545455,-38.16560630301728,-82.47411135369924,-24.147717414039928,24.136363636363637,474.40909090909093,2.772727272727273,20.653696969697
model_13,0.001,50,20,50,2000,22,525000.0,26.90909090909091,261.0,0.12812147779431596,0.09240356510987033,0.34105492813270666,0.25668122695191864,0.5191382936364873,0.9059839807307571,0.04649947753396024,0.07702654636744358,4.329363636363617,7.708290909090895,6.816883116883116,-22.473381292041633,-44.802128037217784,-22.67264428308993,19.863636363636363,238.5909090909091,7.045454545454546,14.041606060606096
model_14,0.001,50,20,50,3000,22,525000.0,26.90909090909091,175.0,0.1286577618896618,0.07913917906641597,0.3056058774383501,0.19382927002526554,0.3064015082883642,0.6768425587445293,0.038961038961038925,0.0823376623376623,5.400181818181813,8.39933636363633,4.588311688311688,-22.646198051582555,-37.634993594853434,-30.333618461765298,14.409090909090908,160.5909090909091,12.5,8.722757575757612
model_15,0.001,50,20,50,5000,22,525000.0,26.90909090909091,105.0,0.12491580290022339,0.08275600908719366,0.2504092398278137,0.17328875309223368,0.22458672105055283,0.44520791033858226,0.04458874458874456,0.08917748917748915,4.845818181818163,7.5209727272727145,2.7324675324675325,-23.51060679498315,-32.480593799590785,-38.480158747224785,9.363636363636363,95.63636363636364,17.545454545454547,6.0271212121212265
model_16,0.001,50,20,100,500,22,525000.0,26.90909090909091,1017.5454545454545,0.0547862179080198,0.053643380919483216,0.18542869235624365,0.18268196779726542,0.9969303029165414,0.9989823609226595,0.02700579764590115,0.029657977939661562,0.9706363636363352,2.124081818181799,26.60909090909091,-76.86751159865085,-163.4553222454116,-39.80087900254322,26.772727272727273,931.3181818181819,0.13636363636363635,26.207333333333334
model_17,0.001,50,20,100,1000,22,525000.0,26.90909090909091,517.6363636363636,0.08770510917136087,0.07597583299947824,0.2636096876014282,0.23850891937086408,0.9257915897628121,0.9744895471682843,0.04241655934112409,0.04966623998815887,2.358363636363618,4.485990909090873,13.557142857142857,-38.56487151755916,-82.88831320418707,-24.857696128790657,24.181818181818183,474.5,2.727272727272727,20.734636363636394
model_18,0.001,50,20,100,2000,22,525000.0,26.90909090909091,261.0,0.1259890514095641,0.09117787242666191,0.3351657705154201,0.25498796706787047,0.509971978486292,0.8909191841279335,0.04475792406826883,0.07575920863945153,4.221818181818162,7.3947181818181695,6.818181818181818,-22.67747010445556,-45.01121771683224,-23.056050843721763,19.5,238.63636363636363,7.409090909090909,13.786484848484905
model_19,0.001,50,20,100,3000,22,525000.0,26.90909090909091,175.0,0.12926612829214293,0.07944072534702364,0.30610444884837174,0.19538024977240795,0.31334618121121766,0.6615192190149031,0.04129870129870125,0.08285714285714282,5.147363636363614,7.997481818181808,4.585714285714285,-22.48777700395428,-37.46651806284629,-30.089315565417373,14.5,160.5,12.409090909090908,8.747272727272756
model_20,0.001,50,20,100,5000,22,525000.0,26.90909090909091,105.0,0.12662947633714178,0.08332380394318993,0.25432224875239906,0.1747369117727741,0.23012709987304367,0.45064866291496125,0.04458874458874456,0.09004329004329002,4.8057272727272515,7.598681818181811,2.72987012987013,-23.3950487168396,-32.35503588591871,-38.278691495936414,9.454545454545455,95.54545454545455,17.454545454545453,6.041727272727289
model_21,0.001,50,30,1,500,22,525000.0,26.90909090909091,1027.4545454545455,0.05438911162709297,0.05350121734010261,0.1843780902335234,0.1822187425978963,0.996235097013544,0.9993215739484396,0.026775167998856562,0.02942770893063754,0.897727272727251,2.203936363636344,26.876623376623378,-77.64847313906559,-165.07030935191725,-40.119373214457944,26.818181818181817,940.6818181818181,0.09090909090909091,26.375636363636364
model_22,0.001,50,30,1,1000,22,525000.0,26.90909090909091,519.5454545454545,0.08723166369257412,0.07655901605725557,0.26274679860321243,0.24015210163432216,0.9241903427566508,0.9737746767420533,0.042677567966585256,0.04935958993982536,2.146363636363632,4.178618181818157,13.588311688311688,-38.38693999801689,-82.80856565094027,-24.539763535191568,24.09090909090909,475.59090909090907,2.8181818181818183,20.943393939393967
model_23,0.001,50,30,1,2000,22,525000.0,26.90909090909091,261.54545454545456,0.126824140281408,0.09053077901579541,0.337545714279614,0.2493914857829166,0.4871845568447283,0.9006607589154167,0.04324769144458532,0.07628806513977994,4.849090909090881,7.6750363636363295,6.831168831168831,-22.050963617485483,-44.43996501932947,-21.992826552927127,19.681818181818183,239.0909090909091,7.2272727272727275,13.81787878787883
