model_id,delta,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,0.005,10,1000,34,127232.0,2.8529411764705883,42.8235294117647,0.07726544081112754,0.07060552827324938,0.21849621134846092,0.1981656095851462,0.34411764705882353,0.4745915032679739,0.03327013972137043,0.04357554318767557,2.373913043478263,3.8078173913043525,4.691522295537933,-2.692592455224708,-5.609043794689599,-2.4696609031393213,1.7647058823529411,39.794117647058826,1.088235294117647,1.585098039215686
model_2,0.005,10,2000,34,127232.0,2.8529411764705883,27.558823529411764,0.09538779235268581,0.07463700420278203,0.23260772560407417,0.18383935765649168,0.234640522875817,0.41437908496732023,0.03424840513918605,0.05656093772880151,3.5037272727272746,4.833763636363641,3.0167216534501122,-2.2595474191983427,-4.223161930291263,-2.689504869534236,1.5,25.58823529411765,1.3529411764705883,1.1282156862745094
model_3,0.005,10,3000,34,127232.0,2.8529411764705883,21.0,0.09582728500165837,0.07288758276685815,0.2123357503646202,0.1550552369041949,0.13962418300653592,0.3448529411764706,0.03334366411765792,0.05923893436846449,4.53171428571429,5.1605428571428655,2.333624911232098,-2.2685156275684335,-3.821412113070768,-3.1391262083466778,1.2058823529411764,19.794117647058822,1.6470588235294117,0.9089803921568623
model_4,0.005,10,4000,34,127232.0,2.8529411764705883,17.235294117647058,0.1245906570692188,0.08844696889032316,0.25431948338733845,0.17866768540091305,0.14950980392156862,0.3794934640522876,0.037712264041084236,0.07917513494240927,4.356454545454553,5.565236363636375,1.8724479228311044,-1.877898700026575,-3.149366974279824,-2.8009880923117154,1.3529411764705883,15.882352941176471,1.5,0.9656274509803912
model_5,0.005,10,5000,34,127232.0,2.8529411764705883,14.411764705882353,0.09768050495211293,0.07767441539369296,0.17804037005205633,0.13934987416617994,0.10310457516339869,0.25016339869281046,0.04002259994907052,0.0665648077412783,3.6799999999999966,5.2473,1.5881132382530476,-2.3134574953118623,-3.397280765913463,-3.712722330599297,0.9411764705882353,13.470588235294118,1.911764705882353,0.7119411764705883
model_6,0.005,25,1000,34,127232.0,2.8529411764705883,60.029411764705884,0.06537065570311472,0.057619087785717685,0.209640867993798,0.18760456976838072,0.4215686274509804,0.6009803921568627,0.02342976415030883,0.03550433283818508,3.057200000000006,4.104752000000006,6.654125118357202,-3.585553797554745,-7.925103560027482,-2.3569553869066113,2.088235294117647,56.44117647058823,0.7647058823529411,1.854647058823529
model_7,0.005,25,2000,34,127232.0,2.8529411764705883,36.205882352941174,0.09181829634562484,0.06756182029161548,0.2562119507221846,0.19384312821540248,0.2848856209150327,0.5444444444444445,0.02468091679184408,0.051684057112122,4.098666666666676,5.6609000000000025,4.004958057166528,-2.3903328113977107,-5.110662842458353,-2.088991325279155,1.9411764705882353,33.970588235294116,0.9117647058823529,1.419450980392157
model_8,0.005,25,3000,34,127232.0,2.8529411764705883,26.61764705882353,0.09225256452977197,0.06544642801746452,0.23157547653076377,0.1700061481453192,0.21609477124183007,0.42312091503267973,0.024548101012571204,0.05377137790810469,4.39219047619048,5.636885714285718,2.9647092111492483,-2.4732256667617443,-4.5113893980184505,-2.924732036427509,1.4705882352941178,25.147058823529413,1.3823529411764706,1.0030588235294118
model_9,0.005,25,4000,34,127232.0,2.8529411764705883,20.970588235294116,0.08887996082376795,0.06531282334961225,0.20192361825413527,0.1527175461490475,0.1758169934640523,0.32148692810457513,0.026718258230667084,0.053718736714988634,3.8503000000000043,5.439300000000008,2.34055990353888,-2.696389166166888,-4.3496163119944224,-3.722716769723709,1.1176470588235294,19.852941176470587,1.7352941176470589,0.8359607843137252
model_10,0.005,25,5000,34,127232.0,2.8529411764705883,17.558823529411764,0.09724117378071137,0.07972279227259883,0.21256794701942217,0.17839452748789497,0.20620915032679737,0.3486928104575164,0.03534082314015682,0.06016745076090208,3.788300000000001,4.86946,1.938330349745532,-2.3742327796775546,-3.7557028440605436,-3.507027159250766,1.1176470588235294,16.441176470588236,1.7352941176470589,0.879549019607843
