model_id,window_size,regime_threshold,regime_landmark,min_gap_samples,n_records,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,25,0.05,2.0,200,34,2.8529411764705883,1.0588235294117647,0.034873949579831934,0.034873949579831934,0.028912830226972906,0.028912830226972906,0.027941176470588233,0.027941176470588233,0.058823529411764705,0.058823529411764705,2.390666666666656,2.390666666666656,0.11442737306190078,-2.6954761316089115,-2.7116526021971468,-5.452093778667735,0.08823529411764706,0.9705882352941176,2.764705882352941,0.08823529411764706
model_2,25,0.05,2.0,500,34,2.8529411764705883,1.0588235294117647,0.034873949579831934,0.034873949579831934,0.028912830226972906,0.028912830226972906,0.027941176470588233,0.027941176470588233,0.058823529411764705,0.058823529411764705,2.390666666666656,2.390666666666656,0.11442737306190078,-2.6954761316089115,-2.7116526021971468,-5.452093778667735,0.08823529411764706,0.9705882352941176,2.764705882352941,0.08823529411764706
model_3,25,0.05,2.0,1000,34,2.8529411764705883,1.0588235294117647,0.034873949579831934,0.034873949579831934,0.028912830226972906,0.028912830226972906,0.027941176470588233,0.027941176470588233,0.058823529411764705,0.058823529411764705,2.390666666666656,2.390666666666656,0.11442737306190078,-2.6954761316089115,-2.7116526021971468,-5.452093778667735,0.08823529411764706,0.9705882352941176,2.764705882352941,0.08823529411764706
model_4,25,0.05,2.0,2000,34,2.8529411764705883,1.0588235294117647,0.034873949579831934,0.034873949579831934,0.028912830226972906,0.028912830226972906,0.027941176470588233,0.027941176470588233,0.058823529411764705,0.058823529411764705,2.390666666666656,2.390666666666656,0.11442737306190078,-2.6954761316089115,-2.7116526021971468,-5.452093778667735,0.08823529411764706,0.9705882352941176,2.764705882352941,0.08823529411764706
model_5,25,0.05,2.0,3000,34,2.8529411764705883,1.0294117647058822,0.03977591036414566,0.03977591036414566,0.029686824035022444,0.029686824035022444,0.027941176470588233,0.027941176470588233,0.07352941176470588,0.07352941176470588,2.390666666666656,2.390666666666656,0.11095987690850984,-2.6922408374912647,-2.7051820139618528,-5.450476131608911,0.08823529411764706,0.9411764705882353,2.764705882352941,0.08823529411764706
model_6,25,0.05,2.0,5000,34,2.8529411764705883,1.0294117647058822,0.03977591036414566,0.03977591036414566,0.029686824035022444,0.029686824035022444,0.027941176470588233,0.027941176470588233,0.07352941176470588,0.07352941176470588,2.390666666666656,2.390666666666656,0.11095987690850984,-2.6922408374912647,-2.7051820139618528,-5.450476131608911,0.08823529411764706,0.9411764705882353,2.764705882352941,0.08823529411764706
model_7,25,0.05,2.5,200,34,2.8529411764705883,1.0294117647058822,0.024509803921568624,0.024509803921568624,0.0210997442455243,0.0210997442455243,0.020588235294117647,0.020588235294117647,0.04411764705882353,0.04411764705882353,2.2959999999999923,2.2959999999999923,0.11442737306190078,-2.753185931724123,-2.769362402312358,-5.539215343488829,0.058823529411764705,0.9705882352941176,2.7941176470588234,0.058823529411764705
model_8,25,0.05,2.5,500,34,2.8529411764705883,1.0294117647058822,0.024509803921568624,0.024509803921568624,0.0210997442455243,0.0210997442455243,0.020588235294117647,0.020588235294117647,0.04411764705882353,0.04411764705882353,2.2959999999999923,2.2959999999999923,0.11442737306190078,-2.753185931724123,-2.769362402312358,-5.539215343488829,0.058823529411764705,0.9705882352941176,2.7941176470588234,0.058823529411764705
model_9,25,0.05,2.5,1000,34,2.8529411764705883,1.0294117647058822,0.024509803921568624,0.024509803921568624,0.0210997442455243,0.0210997442455243,0.020588235294117647,0.020588235294117647,0.04411764705882353,0.04411764705882353,2.2959999999999923,2.2959999999999923,0.11442737306190078,-2.753185931724123,-2.769362402312358,-5.539215343488829,0.058823529411764705,0.9705882352941176,2.7941176470588234,0.058823529411764705
model_10,25,0.05,2.5,2000,34,2.8529411764705883,1.0294117647058822,0.024509803921568624,0.024509803921568624,0.0210997442455243,0.0210997442455243,0.020588235294117647,0.020588235294117647,0.04411764705882353,0.04411764705882353,2.2959999999999923,2.2959999999999923,0.11442737306190078,-2.753185931724123,-2.769362402312358,-5.539215343488829,0.058823529411764705,0.9705882352941176,2.7941176470588234,0.058823529411764705
model_11,25,0.05,2.5,3000,34,2.8529411764705883,1.0294117647058822,0.024509803921568624,0.024509803921568624,0.0210997442455243,0.0210997442455243,0.020588235294117647,0.020588235294117647,0.04411764705882353,0.04411764705882353,2.2959999999999923,2.2959999999999923,0.11442737306190078,-2.753185931724123,-2.769362402312358,-5.539215343488829,0.058823529411764705,0.9705882352941176,2.7941176470588234,0.058823529411764705
model_12,25,0.05,2.5,5000,34,2.8529411764705883,1.0,0.02941176470588235,0.02941176470588235,0.021873738053573833,0.021873738053573833,0.020588235294117647,0.020588235294117647,0.058823529411764705,0.058823529411764705,2.2959999999999923,2.2959999999999923,0.11095987690850984,-2.749950637606476,-2.762891814077064,-5.537597696430005,0.058823529411764705,0.9411764705882353,2.7941176470588234,0.058823529411764705
model_13,25,0.05,3.0,200,34,2.8529411764705883,1.0294117647058822,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,3.0360000000000014,3.0360000000000014,0.1178948692152917,-2.8181441051947456,-2.8407911640182752,-5.630349987547687,0.029411764705882353,1.0,2.823529411764706,0.029411764705882353
model_14,25,0.05,3.0,500,34,2.8529411764705883,1.0294117647058822,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,3.0360000000000014,3.0360000000000014,0.1178948692152917,-2.8181441051947456,-2.8407911640182752,-5.630349987547687,0.029411764705882353,1.0,2.823529411764706,0.029411764705882353
model_15,25,0.05,3.0,1000,34,2.8529411764705883,1.0294117647058822,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,3.0360000000000014,3.0360000000000014,0.1178948692152917,-2.8181441051947456,-2.8407911640182752,-5.630349987547687,0.029411764705882353,1.0,2.823529411764706,0.029411764705882353
model_16,25,0.05,3.0,2000,34,2.8529411764705883,1.0294117647058822,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,3.0360000000000014,3.0360000000000014,0.1178948692152917,-2.8181441051947456,-2.8407911640182752,-5.630349987547687,0.029411764705882353,1.0,2.823529411764706,0.029411764705882353
