model_id,alpha,window_size,stat_size,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,0.001,50,20,1,500,34,127232.0,2.8529411764705883,245.7941176470588,0.024337391213319105,0.024337391213319105,0.10454604834630551,0.10454604834630551,1.0,1.0,0.011776475739660229,0.01244257800171287,1.2711176470588277,1.6660235294117725,27.48337451177654,-19.15493083021107,-40.647297634054034,-8.614629781230768,2.8529411764705883,233.11764705882354,0.0,2.8529411764705883
model_2,0.001,50,20,1,1000,34,127232.0,2.8529411764705883,125.5,0.04558709907015643,0.04432668652606627,0.17683914097523828,0.17227448751464103,0.946078431372549,0.9967320261437908,0.021105629348513573,0.023758235506840947,2.0234705882352966,2.8131294117647077,14.00174946739259,-8.750473334816176,-19.7359287740977,-3.493039732822472,2.823529411764706,118.76470588235294,0.029411764705882353,2.741196078431372
model_3,0.001,50,20,1,2000,34,127232.0,2.8529411764705883,63.794117647058826,0.08097873252650768,0.06535171975849918,0.27540152057993333,0.22084657476395234,0.4321078431372549,0.9869281045751634,0.01934523809523809,0.04350828886992834,4.4004117647058845,5.494600000000005,7.132639587525151,-3.708720756973252,-9.278083392018427,-1.2181570865094877,2.735294117647059,60.5,0.11764705882352941,2.20870588235294
model_4,0.001,50,20,1,3000,34,127232.0,2.8529411764705883,42.94117647058823,0.09285800298080574,0.06976690726259673,0.28380048252857165,0.21452191237050233,0.3810457516339869,0.7936274509803922,0.024004950817536282,0.05139730310728938,4.480645161290325,5.768393548387104,4.802482172446443,-2.771928170213601,-6.492302939533106,-1.6470349032009068,2.2058823529411766,40.73529411764706,0.6470588235294118,1.6518039215686269
model_5,0.001,50,20,1,5000,34,127232.0,2.8529411764705883,26.0,0.0866847907490913,0.05900203921128742,0.22435386775983654,0.15886025433791276,0.17802287581699347,0.4675653594771242,0.019230769230769204,0.050904977375565576,4.834846153846161,5.85301538461539,2.9092292726949935,-3.0136060939753375,-5.297722063518038,-3.4891951680275173,1.3235294117647058,24.676470588235293,1.5294117647058822,0.8859607843137249
model_6,0.001,50,20,10,500,34,127232.0,2.8529411764705883,246.2941176470588,0.024326598378240416,0.024326598378240416,0.10448607283017564,0.10448607283017564,1.0,1.0,0.011777097597241359,0.01243733953907761,1.0637647058823578,1.4592823529411802,27.518049473310448,-19.163992830763693,-40.675793614892974,-8.613974791640224,2.8529411764705883,233.41176470588235,0.0,2.8529411764705883
model_7,0.001,50,20,10,1000,34,127232.0,2.8529411764705883,125.55882352941177,0.045407624143894904,0.044212050611708964,0.17636108841505563,0.1720440631472857,0.946078431372549,0.9967320261437908,0.021094394747146143,0.023658095659309472,2.1592941176470646,2.906194117647061,14.0364244289265,-8.784661932378574,-19.799344532372405,-3.512614750028717,2.823529411764706,119.05882352941177,0.029411764705882353,2.7454313725490196
model_8,0.001,50,20,10,2000,34,127232.0,2.8529411764705883,63.88235294117647,0.08092485374315857,0.06726400713689108,0.2753233168712418,0.22892074659895278,0.4394607843137255,0.9869281045751634,0.019330648926237155,0.04347228656578088,3.996176470588237,4.9705941176470585,7.136107083678541,-3.668784668862065,-9.244507251943826,-1.1750410243800085,2.735294117647059,60.529411764705884,0.11764705882352941,2.2703333333333338
model_9,0.001,50,20,10,3000,34,127232.0,2.8529411764705883,42.970588235294116,0.09274897548937808,0.07099478343840486,0.28376890505413543,0.21985071673255469,0.4369281045751634,0.793954248366013,0.02530779753761966,0.051315875187284164,4.283870967741931,5.606967741935484,4.805949668599834,-2.759375937418436,-6.482970803827785,-1.6328726218608205,2.2058823529411766,40.76470588235294,0.6470588235294118,1.6806274509803925
model_10,0.001,50,20,10,5000,34,127232.0,2.8529411764705883,26.0,0.08830958601387871,0.059402654668173877,0.22635559325160495,0.1586398201075693,0.16691176470588234,0.4670751633986928,0.018099547511312195,0.052036199095022585,4.828846153846159,5.897115384615391,2.9057617765416026,-2.9716902581173206,-5.252570761619658,-3.419485300483798,1.3529411764705883,24.647058823529413,1.5,0.8959607843137247
