model_id,lambda_,delta,alpha,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_1,10.0,0.005,0.99,10,500,34,127232.0,2.8529411764705883,232.5,0.02561443882917334,0.025108286797858707,0.10936708203888275,0.10709464523804661,0.9416666666666667,1.0,0.011645466290921582,0.013108902514863798,1.3359411764705906,2.1757176470588284,26.016623638892177,-17.95888643267888,-38.26338905686788,-7.953693944113794,2.8529411764705883,220.6764705882353,0.0,2.7983529411764705
model_2,10.0,0.005,0.99,10,1000,34,127232.0,2.8529411764705883,121.58823529411765,0.04705202247564329,0.04509241168284829,0.18170649676230774,0.17453247948093514,0.9259803921568628,1.0,0.0210077653563839,0.024541885319600377,2.3795882352941184,3.189558823529418,13.613389898212807,-8.43772012698135,-19.07237732641312,-3.355685644912527,2.8529411764705883,115.47058823529412,0.0,2.7320784313725484
model_3,10.0,0.005,0.99,10,2000,34,127232.0,2.8529411764705883,62.529411764705884,0.08192835597857731,0.06324290988383949,0.27679822618364414,0.21493752278495282,0.45465686274509803,0.9754901960784313,0.018292831365890716,0.04408259836207739,4.230941176470591,5.375464705882354,7.004342229849686,-3.7180679203705402,-9.170949479760788,-1.3151565524401216,2.735294117647059,59.411764705882355,0.11764705882352941,2.108960784313725
model_4,10.0,0.005,0.99,10,4000,34,127232.0,2.8529411764705883,31.970588235294116,0.09019529268706412,0.061970398377559285,0.2495068860946334,0.17120611421308124,0.22459150326797386,0.5698529411764706,0.019301470588235295,0.051470588235294115,5.230230769230764,6.45587692307692,3.5749885341460526,-3.005283542104663,-5.803793596754524,-2.929557926544438,1.6470588235294117,30.323529411764707,1.2058823529411764,1.1334313725490197
model_5,10.0,0.005,0.99,50,500,34,127232.0,2.8529411764705883,224.61764705882354,0.026734912077807548,0.026367872920765412,0.11311892978410595,0.11146767246829513,0.9622549019607843,1.0,0.012413532204609928,0.01370587865394865,1.367235294117651,2.1069647058823584,25.125477127470702,-17.24480309836348,-36.82122461012847,-7.633062930716285,2.8529411764705883,213.11764705882354,0.0,2.8158235294117646
model_6,10.0,0.005,0.99,50,1000,34,127232.0,2.8529411764705883,119.05882352941177,0.04758503819743291,0.045965665649948896,0.18323873031776944,0.17718628928880498,0.8818627450980392,0.9967320261437908,0.02100273550945006,0.02483674768246993,2.4905882352941204,3.377358823529413,13.32905521363475,-8.240688281936006,-18.645614618701106,-3.302930995906397,2.823529411764706,113.05882352941177,0.029411764705882353,2.7281764705882345
model_7,10.0,0.005,0.99,50,2000,34,127232.0,2.8529411764705883,61.64705882352941,0.08341197981414918,0.06214001006745119,0.28170031895060155,0.20978225804877498,0.4190359477124183,0.9869281045751634,0.020178772347148207,0.04488436997602499,4.830117647058822,5.947629411764705,6.893382352941177,-3.562092208172054,-8.918367312759298,-1.1486605382313737,2.735294117647059,58.470588235294116,0.11764705882352941,2.0320000000000014
model_8,10.0,0.005,0.99,50,4000,34,127232.0,2.8529411764705883,31.735294117647058,0.08866002017819646,0.06182252823401619,0.24016128752981522,0.1645392180782736,0.18929738562091503,0.5247549019607842,0.021442329712752724,0.05097269024406202,5.133759999999994,6.599983999999999,3.550716061072316,-3.0151336273895684,-5.7909992504383645,-2.9801419923357577,1.6176470588235294,30.11764705882353,1.2352941176470589,1.1323921568627453
model_9,10.0,0.005,0.99,200,500,34,127232.0,2.8529411764705883,211.94117647058823,0.028267496347527506,0.027915173959798006,0.11805191129947701,0.11660751384217967,0.9281045751633987,0.9852941176470589,0.012576665553535055,0.014525066125762362,1.4442352941176484,2.3570470588235315,23.721141185347378,-16.191089931650552,-34.6247609686146,-7.209548530815581,2.823529411764706,201.2058823529412,0.029411764705882353,2.789
model_10,10.0,0.005,0.99,200,1000,34,127232.0,2.8529411764705883,114.67647058823529,0.0491597472167556,0.04756744492030012,0.18663068144710518,0.18143597475780981,0.85,0.9820261437908496,0.020969516997944155,0.02573941590708105,2.554000000000001,3.2097647058823533,12.836670759853238,-7.888836562272953,-17.905291304060217,-3.174726838438145,2.7941176470588234,108.88235294117646,0.058823529411764705,2.705803921568627
